사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,수소,기타연료,하이브리드
서울특별시 성동구 상왕십리동,1196,294,424,41,5,0,364,0,0,10,58
서울특별시 성동구 하왕십리동,9230,2181,3079,446,56,3,2974,1,8,18,464
서울특별시 성동구 홍익동,1032,205,445,59,6,0,289,10,0,0,18
서울특별시 성동구 도선동,1155,232,452,72,3,1,349,1,1,1,43
서울특별시 성동구 마장동,8493,1206,3738,1127,102,2,2071,4,3,14,226
서울특별시 성동구 사근동,1194,228,468,129,2,0,325,0,1,0,41
서울특별시 성동구 행당동,11999,2823,3838,612,122,4,3912,13,4,37,634
서울특별시 성동구 응봉동,4603,1087,1515,245,18,2,1472,0,0,11,253
서울특별시 성동구 금호동1가,4842,1107,1559,361,23,5,1531,2,3,16,235
서울특별시 성동구 금호동2가,2960,742,1020,137,22,4,874,1,1,5,154
서울특별시 성동구 금호동3가,3292,775,1135,210,14,1,1026,0,1,4,126
서울특별시 성동구 금호동4가,4545,1226,1485,210,39,2,1301,0,2,15,265
서울특별시 성동구 옥수동,8828,2568,2706,274,69,9,2628,11,6,28,529
서울특별시 성동구 성수동1가,17735,2512,5068,997,616,2,7599,318,9,123,491
서울특별시 성동구 성수동2가,15634,2718,6263,1523,133,2,4362,94,9,27,503
서울특별시 성동구 송정동,2839,497,1145,274,14,1,820,1,0,6,81
서울특별시 성동구 용답동,7437,1342,2831,1080,41,8,1973,2,1,6,153
서울특별시 광진구 중곡동,21656,3743,8453,2166,84,7,6560,18,4,27,594
서울특별시 광진구 능동,3001,608,1082,227,16,2,953,0,1,6,106
서울특별시 광진구 구의동,22682,4789,7850,1657,103,9,7319,6,15,38,896
서울특별시 광진구 광장동,11738,3181,3489,416,54,2,3838,6,4,26,722
서울특별시 광진구 자양동,30367,6196,12164,2141,163,9,8425,156,8,41,1064
서울특별시 광진구 노유동,1,1,0,0,0,0,0,0,0,0,0
서울특별시 광진구 화양동,4054,870,1341,390,25,0,1296,1,3,7,121
서울특별시 광진구 군자동,5059,955,1901,510,26,3,1492,1,4,8,159
서울특별시 동대문구 신설동,1377,262,599,85,2,0,398,0,0,2,29
서울특별시 동대문구 용두동,8448,1542,3504,591,62,7,2454,10,2,18,258
서울특별시 동대문구 제기동,6464,1270,2564,519,23,0,1896,2,1,9,180
