lng,lat,행정동
127.142924,37.551194,명일1동
127.136282,37.545049,천호1동
127.147855,37.548551,명일1동
127.147854,37.548632,명일1동
127.1683007,37.550583,상일1동
127.12996346,37.547406594,천호2동
127.1463619029,37.5447060359,명일1동
127.1425454548,37.5276457671,둔촌2동
127.1431676374,37.5288091079,둔촌2동
127.147529,37.533875,둔촌2동
127.1466312646,37.54588600963,명일1동
127.155315,37.550839,명일2동
127.1421795,37.52919773,둔촌2동
127.1462142,37.5392303,길동
127.1258164564,37.55239540617,암사2동
127.127117,37.554298,암사2동
127.1408350327,37.54822574934,천호1동
127.1752187199,37.55223512265,상일2동
127.173,37.556,상일2동
127.172,37.557,상일2동
127.1753261,37.5488184,상일2동
127.1233777,37.5489223,암사2동
127.1218396,37.5448122,천호2동
127.1335396726,37.53051922418,성내3동
127.1310838701,37.53331732998,성내2동
127.1259823751,37.5299423276,성내1동
127.1353837592,37.5311320576,성내3동
127.1237,37.5302,성내1동
127.12379,37.53025,성내1동
127.1253706342,37.529456438,성내1동
127.0,37.52,서빙고동
127.1253752982,37.529539325201,성내1동
127.126227,37.529201,성내1동
127.1281943,37.5267468,성내1동
127.1279653,37.5271797,성내1동
127.1237708,37.530126,성내1동
127.134759,37.537236,천호3동
127.1416213625,37.5630380989,암사3동
127.1715778,37.5697361,강일동
127.1751066,37.5655171,강일동
127.1762685393,37.560720946009,강일동
127.176790416,37.56699469661,강일동
127.178802828,37.56505092294,강일동
127.1253702418,37.54882027091,암사2동
127.1311444412,37.5549808769,암사3동
127.133941,37.556032,암사3동
127.131304691,37.5560114394,암사3동
127.135443,37.52386992,둔촌1동
127.134588,37.524511,성내3동
127.1459978,37.5497683,명일1동
127.1515077,37.5572807,고덕1동
127.1421724756,37.54571126255,천호1동
127.1459180806,37.554389878662,명일1동
127.1462943289,37.557954837512,고덕1동
127.139,37.5371,길동
127.14389337,37.536222918,길동
127.146422,37.547402,명일1동
127.129798,37.524828,성내3동
127.133,37.5287,성내3동
127.1214757453,37.53212142268,성내1동
127.1239511254,37.54113607003,천호2동
127.127785,37.551728,암사2동
127.131951,37.561391,암사2동
127.1245823,37.5439224,천호2동
127.1243435,37.5445391,천호2동
127.1229645,37.5467441,천호2동
127.1228531,37.54786831,천호2동
127.147585,37.528701,둔촌2동
127.1333987,37.5387951,천호3동
127.14794618,37.540909324,길동
127.1244744264,37.53887464166,천호2동
127.1336623,37.53594221,천호3동
127.1426858,37.5345623,길동
127.146385,37.536051,길동
127.14632,37.53613,길동
127.169782,37.545097,상일1동
127.12374243,37.538578982,천호2동
127.12374243,37.53857898,천호2동
127.1237424,37.538579,천호2동
127.1279514942,37.535576869984,성내2동
127.12842625,37.535316866611,성내2동
127.136545,37.533868,성내3동
127.125154,37.537916,성내2동
127.1331171805,37.5366055081,천호3동
127.12375486,37.533503905,성내2동
128.884353,37.745382,내곡동
127.127962,37.530977,성내1동
127.1295521,37.5324318,성내2동
127.126592,37.53437,성내2동
127.1344884,37.5289965,성내3동
127.0231448305,37.6387138869,수유3동
127.0248869,37.63058304,미아동
127.0237348697,37.63436201104,미아동
127.027067263,37.638722062,번1동
127.02233,37.62851,미아동
127.02679,37.62047,송천동
127.0254517699,37.6391855278,수유3동
127.0315028962,37.641299579173,번1동
127.0365,37.614026,송중동
127.0188997476,37.6262846426,삼양동
127.0262223901,37.6138964632,송천동
127.0369023061,37.6262731779,번3동
127.01953,37.62393,송천동
127.019,37.625,삼양동
127.017914,37.625339,삼양동
127.017897,37.625405,삼양동
127.0183653227,37.6273406834,삼양동
127.0175593905,37.6300509733,수유1동
127.01495,37.64152,인수동
127.0118707273,37.6479344301,우이동
127.018752,37.615801,삼각산동
127.017,37.6161,삼각산동
127.0210439517,37.613522688956,삼각산동
127.0202911166,37.614820244451,삼각산동
127.0219505506,37.615252421934,삼각산동
127.0207408629,37.6151481261,삼각산동
127.0223046,37.6172672,송천동
127.0208266,37.6175119,삼각산동
127.016263,37.619008,삼각산동
127.017139,37.619185,삼각산동
127.016385,37.616691,삼각산동
127.016889,37.617831,삼각산동
127.016889,37.618322,삼각산동
127.017779,37.618386,삼각산동
127.018427,37.629941,수유1동
127.0269746851,37.627090357,미아동
127.028,37.6245,송중동
127.01240745,37.621823274,삼양동
127.011,37.618,삼각산동
127.012,37.6193,삼각산동
127.0238498268,37.6182973936,송천동
127.0255275,37.6127453,송천동
127.0258142524,37.612754099432,송천동
127.0337802291,37.6161217853,송중동
127.03797714,37.624104611,번3동
127.0391705,37.6273652,번3동
127.0334805,37.6249449,번2동
127.0345690377,37.617164000291,송중동
127.0349545983,37.618132448904,송중동
127.0364770613,37.618413096361,송중동
127.0353474,37.6308424,번2동
127.03558461,37.631718783,번2동
127.04437126,37.62021507,번3동
127.038459,37.62154,번3동
127.04295565,37.625617,번3동
127.0105961671,37.6414871101,인수동
127.0198879162,37.6446429584,수유2동
127.0390621041,37.6318802215,번2동
127.038179048,37.6330517921,번2동
127.035814,37.634227,번2동
127.0305814216,37.6377607536,번1동
127.0465898131,37.6258661084,번3동
127.0396423,37.6262806,번3동
127.019,37.644,수유2동
127.019,37.6447,수유2동
126.847951,37.567209,가양1동
126.8383789,37.5372628,화곡1동
126.8481216583,37.5664707563,가양1동
126.836671,37.547387,우장산동
126.8409806,37.5482626,우장산동
126.840916,37.5561211,우장산동
126.8390981,37.5565222,우장산동
126.8382843,37.5567572,우장산동
126.83901086,37.562380869,가양1동
126.839743,37.562125,등촌3동
126.841,37.5648,등촌3동
126.8433340245,37.571731715073,가양1동
126.8434796918,37.572443693734,가양1동
126.8445434969,37.572571238559,가양1동
126.8384118654,37.5425273892,화곡3동
126.827403,37.554515,발산1동
126.8404975392,37.5599338903,등촌3동
126.8490887,37.5289561,화곡8동
126.848566,37.529481,화곡8동
126.849,37.5296,화곡8동
126.843294,37.529345,화곡1동
126.79801,37.577699,방화2동
126.8544869105,37.5318263958,화곡2동
126.81860899,37.561906999,공항동
126.8261369814,37.559273639191,발산1동
126.8286371829,37.559042314666,발산1동
126.8290341274,37.55898099169,발산1동
126.8304435479,37.559776711547,가양1동
126.8313655715,37.559699375114,가양1동
126.8326843397,37.55959871799,가양1동
126.8326741632,37.558632745657,발산1동
126.8264,37.56449,방화1동
126.8343275796,37.558480196039,발산1동
126.83523914,37.559313519,가양1동
126.83496,37.559331,가양1동
126.83489386,37.558403864,발산1동
126.836268,37.557346,발산1동
126.8372531,37.5595252,가양1동
126.844885,37.557138,우장산동
126.8495471721,37.556395843088,화곡6동
126.85384855,37.555699404,등촌1동
126.858631,37.553417,등촌2동
126.8473931,37.563616905,등촌3동
126.84739,37.56362,등촌3동
126.8430936281,37.55681992163,우장산동
126.85749857,37.55920195,등촌1동
126.8589083578,37.5558271586,등촌1동
126.861929,37.551591,등촌2동
126.8622892027,37.555948730245,등촌1동
126.866838453,37.552581335841,염창동
126.871656,37.55056,염창동
126.8728997336,37.548411260354,염창동
126.8139781759,37.5613619067,공항동
126.859815,37.529622,화곡4동
126.812,37.5769,방화3동
126.81400535,37.579565634622,방화3동
126.811,37.578,방화3동
126.816,37.579,방화3동
126.844331,37.541806,화곡본동
126.8444499,37.5419747,화곡본동
126.823,37.546,발산1동
126.8285922819,37.55097481545,발산1동
126.8305340094,37.5535661829,발산1동
126.8247074755,37.5518565943,발산1동
126.821919941,37.5476645873,발산1동
126.8275825587,37.5515869245,발산1동
126.8258211289,37.5498760484,발산1동
126.84705,37.56018,등촌3동
126.863149,37.5414343,등촌2동
126.8625043154,37.5426588113,등촌2동
126.8611917839,37.543850198138,등촌2동
126.8623,37.546446,등촌2동
126.856337,37.536889,화곡4동
126.818291,37.557592,공항동
126.820478,37.558829,공항동
126.8196221693,37.5657531052,방화1동
126.819719606,37.5685319217,방화1동
126.819528,37.569615,방화1동
126.819977,37.564076,방화1동
126.8184339904,37.5646953177,방화1동
126.8338034,37.5599779,가양1동
126.8397308634,37.567011072717,가양1동
126.817774,37.56672,방화1동
126.816751,37.56546,방화1동
126.817289,37.565800153,방화1동
126.8211838432,37.561156350419,공항동
126.8239317834,37.564090967998,방화1동
126.8229812,37.5651924,방화1동
126.825204,37.569161,가양1동
126.8312315893,37.5634024562,가양1동
126.8344287288,37.5630465849,가양1동
126.8199372419,37.5589997243,공항동
126.8306617841,37.557965031496,발산1동
126.8274538429,37.5584780994,발산1동
126.834883242,37.557883163419,발산1동
126.8269561897,37.567290908492,가양1동
126.8185972195,37.567117082482,방화1동
126.81777463,37.56717483,방화1동
126.8261173,37.5665539,방화1동
126.8259554,37.5691881,가양1동
126.829618546,37.560835635621,가양1동
126.8348542149,37.559856214285,가양1동
126.837196,37.56659,가양1동
126.8307466,37.5764888,가양1동
126.828454,37.567308,가양1동
126.8274533577,37.567865659904,가양1동
126.826721,37.5679746,가양1동
126.8259599067,37.568058352881,가양1동
126.8257865,37.568638,가양1동
126.8276974501,37.568580865544,가양1동
126.8277803,37.5690271,가양1동
126.827498,37.57001599999,가양1동
126.824081809,37.558050916577,발산1동
126.8290614155,37.55615172268,발산1동
126.8284660959,37.55665541732,발산1동
126.8273965744,37.55666286863,발산1동
126.8284490784,37.55667341252,발산1동
126.8290931453,37.55712484475,발산1동
126.8275187614,37.55766315311,발산1동
126.8262615332,37.558616365729,발산1동
126.82496,37.556941,발산1동
126.817967,37.551206,발산1동
126.8170528739,37.5703442239,방화1동
126.818613,37.546851,발산1동
126.82119574,37.570383,방화1동
126.81605265,37.569707,방화1동
126.81877641,37.571075871,방화1동
126.8162119,37.5717755,방화1동
126.8143291,37.57488098,방화1동
126.8154869484,37.57648250928,방화3동
126.8137995438,37.57674340028,방화3동
126.814001912,37.57730684,방화3동
126.8146129388,37.57742267778,방화3동
126.81292939,37.555503396,공항동
126.810285497,37.5768026767,방화3동
126.812592887,37.5794084299,방화3동
126.8140680039,37.5744012407,방화1동
126.7682661991,37.553682940155,공항동
126.8225609081,37.552047823245,발산1동
126.8258219226,37.549875328767,발산1동
126.819533,37.572989,방화1동
126.8057584,37.572315124,방화2동
126.804828,37.5724222,방화2동
126.8323738,37.5728411,가양1동
126.88369814,37.541201379,목5동
126.84583,37.565229,가양1동
126.847934,37.565555,가양1동
126.8476921,37.5656521,가양1동
126.85059572,37.56401856,가양2동
126.8592001,37.5581202,등촌1동
126.860275,37.5579833,등촌1동
126.8618193441,37.55819481661,가양3동
126.8650588768,37.554837845328,등촌1동
126.8641464101,37.55562517137,등촌1동
126.8664819,37.5554232,염창동
126.8773968582,37.550251708799,염창동
126.807,37.575,방화3동
126.8234049,37.56875643,가양1동
126.837665,37.575728,가양1동
126.8374443691,37.574582155668,가양1동
126.8372571939,37.574762096534,가양1동
126.8481216583,37.5664707563,가양1동
126.859678051,37.5605961494,가양3동
126.86373,37.56198,가양3동
126.8667113,37.5565111,염창동
126.8661266,37.5569108,염창동
126.865401,37.557685,염창동
126.8688643726,37.555117838273,염창동
126.8710261,37.5531832,염창동
126.8729524,37.554456,염창동
126.8078973244,37.569571043767,방화2동
126.8078957739,37.570174707309,방화2동
126.87151339,37.551894819,염창동
126.8741579466,37.554157729833,염창동
126.8703941578,37.54876208844,염창동
126.8733338342,37.5516160358,염창동
126.796269,37.546919,공항동
126.848644,37.55301,화곡6동
126.8488169,37.5530457,화곡6동
126.846388,37.552379,화곡6동
126.841736,37.553733,우장산동
126.8373961674,37.547542753479,우장산동
126.842049,37.527658999999,화곡1동
126.850967,37.537593,화곡8동
126.850385,37.537655,화곡8동
126.8452909156,37.536182845445,화곡8동
126.849763,37.53967,화곡본동
126.849863,37.540475,화곡본동
126.84614106,37.537824972,화곡8동
126.803151,37.563518,방화2동
126.794854,37.564959,공항동
126.802511,37.566775,방화2동
126.803539,37.563453,방화2동
126.79866127,37.561810793,공항동
126.8605599479,37.5610873361,가양3동
126.8447061169,37.5694864478,가양1동
126.8,37.5,부천동
126.8493549,37.5699432,가양2동
126.8329698193,37.5452804761,화곡3동
126.8495337,37.5509646,화곡6동
126.85001114,37.551278229,화곡6동
126.8500752535,37.5518158458,화곡6동
126.85129237,37.554835184,화곡6동
126.85236586,37.554981232,화곡6동
126.8528197803,37.558039781694,등촌3동
126.854901,37.5584281,등촌1동
126.8547893,37.5584425,등촌1동
126.8549199,37.5591218,등촌1동
126.8312982,37.5447188,화곡3동
126.85057,37.55962,등촌3동
126.8562898332,37.559197331741,등촌1동
126.85830178,37.557539317,등촌1동
126.9571611426,37.453358465804,대학동
126.951129,37.478431,청룡동
126.9528756196,37.479739522675,낙성대동
126.9530968066,37.482564093482,중앙동
126.9554444696,37.48939104023,성현동
126.9525144034,37.4738312779,청룡동
126.9595888,37.485396,행운동
126.96087,37.487504,청림동
126.9586272684,37.4918465421,청림동
126.958441,37.492221,청림동
126.9235075,37.4874046,신림동
126.921806,37.487398,신사동
126.9186430678,37.488464925928,신사동
126.92242741,37.482950598,신원동
126.9583876,37.476296,낙성대동
126.96296,37.474018,인헌동
126.9155534081,37.4761748931,미성동
126.9189711,37.4616153,난향동
126.92228964,37.466443395,난곡동
126.92314419,37.472156479,난곡동
126.9231169,37.4722977,난곡동
126.91343664,37.478871073,미성동
126.91991047,37.476290299,미성동
126.920188,37.476546,미성동
126.91519651,37.462550817,난향동
126.910669,37.478977,미성동
126.93313469,37.48498122,신림동
126.9336329584,37.484478416765,서원동
126.951454,37.48175,중앙동
126.9591691,37.4790967,행운동
126.958982,37.479242,행운동
126.96229193,37.477244155,인헌동
126.9628781,37.476908242,인헌동
126.915441,37.484402,신사동
126.92209544,37.48506682,신사동
126.922156,37.485083,신사동
126.9221838,37.4851194,신사동
126.93719287,37.483634946,서원동
126.954764,37.475988,낙성대동
126.965722,37.4727527,인헌동
126.974,37.4719,남현동
126.974355,37.475731,남현동
126.9778736051,37.4745559518,남현동
126.9755152,37.4726622,남현동
126.9755114,37.4727802,남현동
126.937096,37.463788,대학동
126.937440053,37.465981862323,대학동
126.91126819,37.469356895,미성동
126.91676638,37.473796215,미성동
126.9251744,37.4918481,신대방2동
126.9260516778,37.492014358534,보라매동
126.9519063577,37.4771034996,청룡동
126.9278189979,37.4933922804,보라매동
126.945246769,37.4872820001,은천동
126.9501540148,37.4872985885,성현동
126.9645625253,37.4706639492,인헌동
126.945375416,37.4783116175,청룡동
126.934448,37.488025509,보라매동
126.9346119,37.488301,보라매동
126.9346119,37.488301,보라매동
126.93449774,37.488516892,보라매동
126.94028292,37.464619202,대학동
126.905703,37.481069,조원동
126.92662,37.46425,삼성동
126.9198746198,37.4610661511,난향동
126.9160634915,37.4729532457,미성동
126.9121747586,37.472827882,미성동
126.940475311,37.46433097545,대학동
126.940601886,37.4643616735,대학동
126.9322465795,37.4640220022,삼성동
126.9369599999,37.47058499999,대학동
126.94203825,37.467697029,대학동
126.904065304,37.4846968754,조원동
126.92737989,37.481610612,신원동
126.941639389,37.4791171355,청룡동
126.9497535648,37.4841917425,중앙동
126.9292421,37.470038,삼성동
126.945251,37.486122,은천동
126.9077945997,37.482562653,조원동
126.9104756,37.484694,조원동
126.9085986941,37.484428545206,조원동
126.903,37.4808,조원동
126.903062,37.480817,조원동
126.90567,37.481028,조원동
126.948,37.4808,청룡동
126.94289019,37.480798165,청룡동
126.959571,37.488911,청림동
126.961372927,37.4827869351,행운동
126.960485,37.479778999,행운동
126.92612923,37.46250743,삼성동
126.9311796449,37.463891639983,삼성동
126.9329645737,37.4701060379,삼성동
127.0919839534,37.5379926071,구의3동
127.0921185542,37.533357756265,구의3동
127.0708285672,37.548438059852,군자동
127.0710481259,37.5484622549,군자동
127.08729761,37.54467212,구의1동
127.0899889192,37.546254506645,구의2동
127.095752,37.535175,구의3동
127.0939942,37.54411872,광장동
127.08567733,37.54241324,구의1동
127.09120373,37.543230722,구의3동
127.091363,37.539152,구의3동
127.09703,37.537425,구의3동
127.0996574054,37.5429635024,광장동
127.1030121682,37.5468817707,광장동
127.1037274139,37.5502004223,광장동
127.09464,37.539412,구의3동
127.09460746,37.53993849,구의3동
127.092925,37.536151,구의3동
127.09139,37.53651,구의3동
127.092781,37.537837,구의3동
127.0948846975,37.53995404115,구의3동
127.0758892295,37.5551590639,군자동
127.0724402,37.551509,군자동
127.073,37.5521,군자동
127.0894339436,37.5590995527,중곡4동
127.0800508301,37.5606668137,중곡1동
127.076733,37.541965,화양동
127.077397,37.54316,화양동
124.0,33.0,
127.079311,37.549191,능동
127.0869275,37.5515067,능동
127.0869295,37.5515087,능동
127.0814763513,37.5601504685,중곡2동
127.069762,37.533149,자양3동
127.0713178828,37.5465375591,화양동
127.08366927,37.562629107,중곡2동
127.069139,37.532081,자양3동
127.0704797154,37.531278726395,자양3동
127.06656834,37.546036673,화양동
127.06657997,37.546010087758,화양동
127.067810065,37.547814268539,화양동
127.0796172382,37.571200648931,중곡3동
127.0801365138,37.5688081554,중곡3동
127.077544,37.529553,자양2동
127.0729033289,37.5338324939,자양3동
127.0618879243,37.533797334156,자양4동
127.066259942,37.5340958963,자양4동
127.06811854,37.53600541,자양4동
127.068262,37.531545,자양3동
127.0677657,37.532132,자양3동
127.0722787406,37.533778817737,자양3동
127.0815829571,37.537506502536,자양1동
127.0901908,37.53865397,구의3동
127.09965898,37.542962059,광장동
127.10417571,37.546907689,광장동
127.085285,37.540549,구의1동
127.1099323,37.54942716,광장동
127.1087684,37.5496438,광장동
127.1092954061,37.550375599383,광장동
