행정동코드,시간대구분,남자25세부터64세생활인구수,여자25세부터64세생활인구수,행정동
11200560,18시~20시,0.14124268368425913,0.17860803173039919,행당제1동
11200570,18시~20시,0.10876152361086555,0.16535892558158755,행당제2동
11200580,18시~20시,0.03965098099289796,0.058191672890423464,응봉동
11200590,18시~20시,0.08876592500722114,0.14607025751601663,금호1가동
11200615,18시~20시,0.11157138416894027,0.1693189637976728,금호2.3가동
11200620,18시~20시,0.07267186646196677,0.09794809243815644,금호4가동
11200645,18시~20시,0.20043827198453634,0.2984237333343735,옥수동
11200650,18시~20시,0.14335741732516558,0.1613811506600956,성수1가제1동
11200660,18시~20시,0.16821993538945706,0.18245660839888758,성수1가제2동
11200670,18시~20시,0.15249167169450506,0.14980514605009157,성수2가제1동
11200690,18시~20시,0.2829778175169895,0.2560556932796146,성수2가제3동
11200720,18시~20시,0.060826636523202915,0.04879133673486997,송정동
11200790,18시~20시,0.15863613861952852,0.16421218198580798,용답동
11215710,18시~20시,0.26453756731523725,0.3059125800994047,화양동
11215730,18시~20시,0.14251346996280348,0.15638992053678188,군자동
11215740,18시~20시,0.10996983370316249,0.13446913994692203,중곡제1동
11215750,18시~20시,0.10499286529964832,0.1440949114328082,중곡제2동
11215760,18시~20시,0.09665795866626894,0.12275386142976255,중곡제3동
11215770,18시~20시,0.15240803840725498,0.22014600940816167,중곡제4동
11215780,18시~20시,0.10016447444031518,0.13270989257070442,능동
11215810,18시~20시,0.2146232274757359,0.3185941830702689,광장동
11215820,18시~20시,0.17030938645819088,0.2298056631273225,자양제1동
11215830,18시~20시,0.13517591385123592,0.17451152198258746,자양제2동
11215840,18시~20시,0.14843987107841483,0.21872232993394633,자양제3동
11215847,18시~20시,0.20596113075054148,0.2453780053758681,자양제4동
11215850,18시~20시,0.1584689677870333,0.21136616456869542,구의제1동
11215860,18시~20시,0.11881153544688905,0.17904807501289075,구의제2동
11215870,18시~20시,0.21777282054649913,0.2884746897217419,구의제3동
11230536,18시~20시,0.29246663036218035,0.322525767698378,용신동
11230545,18시~20시,0.19649220927522532,0.2026360973013715,제기동
11230560,18시~20시,0.2273476163677709,0.28179535468265127,전농제1동
11230570,18시~20시,0.08446748733986585,0.1068770909959357,전농제2동
11230600,18시~20시,0.13402340825494408,0.17727419263510202,답십리제1동
11230610,18시~20시,0.13948663137178927,0.17759238009239425,답십리제2동
11230650,18시~20시,0.26880509801769353,0.3029055633740859,장안제1동
11230660,18시~20시,0.19667756233278222,0.26051875451623485,장안제2동
11230705,18시~20시,0.10577319087221032,0.11843182848600359,청량리동
11230710,18시~20시,0.08626419678117674,0.1047523751375645,회기동
11230720,18시~20시,0.09536041309741261,0.11068880259431282,휘경제1동
11230730,18시~20시,0.09394332809806825,0.11396235356997236,휘경제2동
11230740,18시~20시,0.1218761694900404,0.12779253867865978,이문제1동
11230750,18시~20시,0.0726651762234157,0.09140823650748228,이문제2동
11260520,18시~20시,0.11963731184955917,0.14925238639557598,면목제2동
11260540,18시~20시,0.0916556777677958,0.11628286889836045,면목제4동
11260550,18시~20시,0.05741909976136583,0.06668683361518588,면목제5동
11260565,18시~20시,0.1909321744614847,0.25696887183182227,면목본동
11260570,18시~20시,0.12619070081562486,0.17036735963569086,면목제7동
11260575,18시~20시,0.12384668051142525,0.1588593688645148,면목제3.8동
11260580,18시~20시,0.10558015436872709,0.16015292678214232,상봉제1동
11260590,18시~20시,0.20207178683246846,0.269084138447431,상봉제2동
11260600,18시~20시,0.07339545016701282,0.10682331853297661,중화제1동
11260610,18시~20시,0.1797896238474699,0.22116518921471248,중화제2동
11260620,18시~20시,0.15812541186783638,0.22140081995097768,묵제1동
11260630,18시~20시,0.11696704842653269,0.15189732838855038,묵제2동
11260655,18시~20시,0.25021033017591,0.33917181734346147,망우본동
11260660,18시~20시,0.05365508602846926,0.06455689598025013,망우제3동
11260680,18시~20시,0.2054626194239519,0.28105777191989495,신내1동
11260690,18시~20시,0.08749992648357408,0.13169481059590132,신내2동
11290525,18시~20시,0.1126590207107819,0.1711181805681516,성북동
11290555,18시~20시,0.1617429940958646,0.22374133563032392,삼선동
11290575,18시~20시,0.14356708293290604,0.20356564519715084,동선동
11290580,18시~20시,0.05308749627243953,0.07477657623499809,돈암제1동
11290590,18시~20시,0.05230114089022264,0.09016246084346774,돈암제2동
11290600,18시~20시,0.15166047981307393,0.14815310660010939,안암동
11290610,18시~20시,0.07998565978976444,0.11280917645525709,보문동
11290620,18시~20시,0.06895233083677332,0.10811719878333131,정릉제1동
11290630,18시~20시,0.10409675545624142,0.15183629486366004,정릉제2동
11290640,18시~20시,0.0738398594050096,0.06935614691612632,정릉제3동
11290650,18시~20시,0.08489304421331959,0.12660419969832912,정릉제4동
11290660,18시~20시,0.16879446095818929,0.2822748069523782,길음제1동
11290685,18시~20시,0.0862098539191714,0.13382942484584265,길음제2동
11290705,18시~20시,0.239339488934799,0.3106077443461353,종암동
11290715,18시~20시,0.11518811372030832,0.176990367609259,월곡제1동
11290725,18시~20시,0.14786601283964093,0.18938914219264325,월곡제2동
11290760,18시~20시,0.10685243174034983,0.15772483474376017,장위제1동
11290770,18시~20시,0.054874686176204696,0.07082207858907802,장위제2동
11290780,18시~20시,0.02500263387005938,0.030678429799206798,장위제3동
11290810,18시~20시,0.18061103482386487,0.22466332647071127,석관동
11305534,18시~20시,0.12982100500124358,0.17746273264260046,삼양동
11305535,18시~20시,0.13991985625242997,0.17345386329839732,미아동
11305545,18시~20시,0.21900127399289931,0.31933847227304113,송중동
11305555,18시~20시,0.16062623970987952,0.21518755982896484,송천동
11305575,18시~20시,0.10579038668185112,0.1674120468561428,삼각산동
11305590,18시~20시,0.12313921283168633,0.1495263903121148,
11305600,18시~20시,0.0560851333064291,0.07179603149324013,
11305606,18시~20시,0.0721304737097271,0.10293800379456064,
11305610,18시~20시,0.09316534296745979,0.12324256871874789,
11305620,18시~20시,0.1051752951164826,0.15127709559882788,
11305630,18시~20시,0.21139958170102527,0.2543931948268563,
11305645,18시~20시,0.09191646556923422,0.12288910597365083,우이동
11305660,18시~20시,0.15034395866980652,0.21542652697438838,인수동
11320511,18시~20시,0.13699276391895743,0.19432927008970463,창제1동
11320512,18시~20시,0.15951474507869381,0.22651828594252446,창제2동
11320513,18시~20시,0.045791769488266756,0.055791555466925095,창제3동
11320514,18시~20시,0.1668044927337374,0.24018335243658892,창제4동
11320515,18시~20시,0.12843908293077508,0.18632156431369487,창제5동
11320521,18시~20시,0.09582057042228193,0.10868264960836896,도봉제1동
11320522,18시~20시,0.1150041342195619,0.150120869016419,도봉제2동
11320660,18시~20시,0.08045246583770564,0.120177738903253,쌍문제1동
11320670,18시~20시,0.09071120858309743,0.13550652372563113,쌍문제2동
11320680,18시~20시,0.08659655241329368,0.11885759687301722,쌍문제3동
11320681,18시~20시,0.0506383700405246,0.09543508257110425,쌍문제4동
11320690,18시~20시,0.160177862033967,0.20548806521304894,방학제1동
11320700,18시~20시,0.05844811426456206,0.07554336237003964,방학제2동
11320710,18시~20시,0.09092552539745118,0.1374698746551316,방학제3동
11350560,18시~20시,0.14203733809803445,0.16524571863222048,월계1동
11350570,18시~20시,0.09501525935053186,0.1286759311958976,월계2동
11350580,18시~20시,0.14523323429368912,0.1947883850087906,월계3동
11350595,18시~20시,0.2922839147922848,0.3772223824066483,공릉1동
11350600,18시~20시,0.2298862130942268,0.30302405893505485,공릉2동
11350611,18시~20시,0.13018633104304445,0.1929906658331859,하계1동
11350612,18시~20시,0.06128766736430259,0.10144730065416913,하계2동
11350619,18시~20시,0.09139169600215909,0.15855599598541953,중계본동
11350621,18시~20시,0.10314864065602869,0.175749034297318,중계1동
11350624,18시~20시,0.0760218002237812,0.11603798504852034,중계4동
11350625,18시~20시,0.18178423184950387,0.29690351653561114,중계2.3동
11350630,18시~20시,0.23501421440155856,0.3405430922610336,상계1동
11350640,18시~20시,0.19531087611582085,0.2707571958152212,상계2동
11350665,18시~20시,0.11205211669618151,0.15627202002543952,상계3.4동
11350670,18시~20시,0.11000288763478919,0.15380756023224093,상계5동
11350695,18시~20시,0.29328759683381334,0.4590592213384809,상계6.7동
11350700,18시~20시,0.06898367616912583,0.12620045270752836,상계8동
11350710,18시~20시,0.08152428680956353,0.13978488854792345,상계9동
11350720,18시~20시,0.06864450163320496,0.11210419152922618,상계10동
11380510,18시~20시,0.20449094712610297,0.30698881701835184,녹번동
11380520,18시~20시,0.20167487913104112,0.30971247404486624,불광제1동
11380530,18시~20시,0.11563376193077013,0.16384968136726438,불광제2동
11380551,18시~20시,0.15557114503923514,0.2189619787354989,갈현제1동
11380552,18시~20시,0.12089838945236345,0.17915265731582813,갈현제2동
11380560,18시~20시,0.12331189062974743,0.18918376128703385,구산동
11380570,18시~20시,0.21525286637048308,0.3287037039036302,대조동
11380580,18시~20시,0.15638571599948645,0.24092666729068743,응암제1동
11380590,18시~20시,0.07957826582931006,0.12522438221483168,응암제2동
11380600,18시~20시,0.1468231516421488,0.20091831592741763,응암제3동
11380625,18시~20시,0.2684283935704958,0.39980817325361856,역촌동
11380631,18시~20시,0.1404049147635136,0.20815993114280926,신사제1동
11380632,18시~20시,0.07071583193178782,0.10094675151689528,신사제2동
11380640,18시~20시,0.0592243165753847,0.07928219801672709,증산동
11380650,18시~20시,0.07024075609315109,0.07813886988193491,수색동
11380690,18시~20시,0.36720544666686916,0.5867708507934021,진관동
11410520,18시~20시,0.08642543379151445,0.12795295729962625,천연동
11410555,18시~20시,0.23132009192317554,0.28781301624812056,북아현동
11410565,18시~20시,0.29618477085451606,0.3585864921869023,충현동
11410585,18시~20시,0.3411515659908007,0.46000290089721635,신촌동
11410615,18시~20시,0.25121805490314275,0.3374772915339008,연희동
11410620,18시~20시,0.12683335824996278,0.18452473066830774,홍제제1동
11410640,18시~20시,0.0777512559255168,0.10602021769598197,홍제제3동
11410655,18시~20시,0.03479761347210039,0.051446699855163765,홍제제2동
11410660,18시~20시,0.06419019052628586,0.09431300134239282,홍은제1동
11410685,18시~20시,0.14795108356625875,0.20900281887085395,홍은제2동
11410690,18시~20시,0.06833753888114362,0.09622960180969495,남가좌제1동
11410700,18시~20시,0.12022313740253038,0.16835262195460743,남가좌제2동
11410710,18시~20시,0.06585623989864821,0.10140871454781086,북가좌제1동
11410720,18시~20시,0.2245695735783812,0.32104115342047573,북가좌제2동
11440555,18시~20시,0.1796313114144243,0.25478714184102025,아현동
11440565,18시~20시,0.2570548553860064,0.3604209053294771,공덕동
11440585,18시~20시,0.1404706601982712,0.1844451274161755,도화동
11440590,18시~20시,0.20976162625161396,0.26278843979078936,용강동
11440600,18시~20시,0.14107200310261048,0.17909080693338097,대흥동
11440610,18시~20시,0.06498254527710988,0.09613612154154491,염리동
11440630,18시~20시,0.10310297068310917,0.14035440225583723,신수동
11440655,18시~20시,0.16536993279998372,0.20318013978172478,서강동
11440660,18시~20시,0.600941065651889,0.7629744350814568,서교동
11440680,18시~20시,0.1761363592560925,0.23708691209849495,합정동
11440690,18시~20시,0.12162031420213784,0.17769834486651306,망원제1동
11440700,18시~20시,0.10881370221257275,0.1575313057593367,망원제2동
11440710,18시~20시,0.1296693230702843,0.1750731265941402,연남동
11440720,18시~20시,0.13790067037756792,0.18265113034642755,성산제1동
11440730,18시~20시,0.21500861487720474,0.3210379989360174,성산제2동
11440740,18시~20시,0.37478800395070844,0.4119318531889853,상암동
11470510,18시~20시,0.3263935177331595,0.47229572115371005,목1동
11470520,18시~20시,0.13121958511678627,0.19806941637011713,목2동
11470530,18시~20시,0.11563277344230291,0.1783758373155482,목3동
11470540,18시~20시,0.08800070828680571,0.13727338852656693,목4동
11470550,18시~20시,0.19627910802973544,0.3161157985168785,목5동
11470560,18시~20시,0.09169400566549935,0.10231755841905432,신월1동
11470570,18시~20시,0.07990668540122037,0.10982477644801816,신월2동
11470580,18시~20시,0.08277264714640815,0.09069068533527902,신월3동
11470590,18시~20시,0.047361596427133806,0.06573904380373127,신월4동
11470600,18시~20시,0.037727211163812086,0.047551441873558926,신월5동
11470610,18시~20시,0.0149264732558483,0.018950325828908952,신월6동
11470611,18시~20시,0.0901890067565879,0.1131931093416173,신월7동
