`regist_ym`|`fuel_knd_nm`|`vhcle_knd_ty`|`vhcle_prpos_se`|`cnt`|`ldadng_dt`
`201710`|`하이브리드(경유+전기)`|`특수`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LPG+전기)`|`승용`|`비사업용`|`2114`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LPG+전기)`|`승용`|`사업용`|`2`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LPG+전기)`|`승합`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LPG+전기)`|`승합`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LPG+전기)`|`화물`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LPG+전기)`|`화물`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LPG+전기)`|`특수`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LPG+전기)`|`특수`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(CNG+전기)`|`승용`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(CNG+전기)`|`승용`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(CNG+전기)`|`승합`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(CNG+전기)`|`승합`|`사업용`|`51`|`2018-07-25 13:09:37`
`201710`|`하이브리드(CNG+전기)`|`화물`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(CNG+전기)`|`화물`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(CNG+전기)`|`특수`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(CNG+전기)`|`특수`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LNG+전기)`|`승용`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LNG+전기)`|`승용`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LNG+전기)`|`승합`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LNG+전기)`|`승합`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LNG+전기)`|`화물`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LNG+전기)`|`화물`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`하이브리드(LNG+전기)`|`특수`|`비사업용`|`0`|`2018-07-25 13:09:37`
