`regist_ym`,`fuel_knd_nm`,`vhcle_knd_ty`,`vhcle_prpos_se`,`cnt`
201603,엘피지,특수,비사업용,31
201603,엘피지,특수,사업용,61
201603,전기,승용,비사업용,581
201603,전기,승용,사업용,590
201603,전기,승합,비사업용,1
201603,전기,승합,사업용,9
201603,전기,화물,비사업용,2
201603,전기,화물,사업용,0
201603,전기,특수,비사업용,0
201603,전기,특수,사업용,0
201603,CNG,승용,비사업용,594
201603,CNG,승용,사업용,170
201603,CNG,승합,비사업용,62
201603,CNG,승합,사업용,8692
201603,CNG,화물,비사업용,467
201603,CNG,화물,사업용,3
201603,CNG,특수,비사업용,3
201603,CNG,특수,사업용,0
201603,하이브리드(휘발유+전기),승용,비사업용,31312
201603,하이브리드(휘발유+전기),승용,사업용,2455
201603,하이브리드(휘발유+전기),승합,비사업용,0
201603,하이브리드(휘발유+전기),승합,사업용,0
201603,하이브리드(휘발유+전기),화물,비사업용,0
201603,하이브리드(휘발유+전기),화물,사업용,0
201603,하이브리드(휘발유+전기),특수,비사업용,0
201603,하이브리드(휘발유+전기),특수,사업용,0
201603,하이브리드(경유+전기),승용,비사업용,21
201603,하이브리드(경유+전기),승용,사업용,2
201603,하이브리드(경유+전기),승합,비사업용,1
201603,하이브리드(경유+전기),승합,사업용,0
201603,하이브리드(경유+전기),화물,비사업용,0
201603,하이브리드(경유+전기),화물,사업용,0
201603,하이브리드(경유+전기),특수,비사업용,0
201603,하이브리드(경유+전기),특수,사업용,0
201603,하이브리드(LPG+전기),승용,비사업용,2243
201603,하이브리드(LPG+전기),승용,사업용,3
201603,하이브리드(LPG+전기),승합,비사업용,0
201603,하이브리드(LPG+전기),승합,사업용,0
201603,하이브리드(LPG+전기),화물,비사업용,0
201603,하이브리드(LPG+전기),화물,사업용,0
201603,하이브리드(LPG+전기),특수,비사업용,0
201603,하이브리드(LPG+전기),특수,사업용,0
201603,하이브리드(CNG+전기),승용,비사업용,0
201603,하이브리드(CNG+전기),승용,사업용,0
201603,하이브리드(CNG+전기),승합,비사업용,0
201603,하이브리드(CNG+전기),승합,사업용,31
201603,하이브리드(CNG+전기),화물,비사업용,0
201603,하이브리드(CNG+전기),화물,사업용,0
201603,하이브리드(CNG+전기),특수,비사업용,0
201603,하이브리드(CNG+전기),특수,사업용,0
201603,수소,승용,비사업용,5
201603,수소,승용,사업용,0
201603,수소,승합,비사업용,0
201603,수소,승합,사업용,0
201603,수소,화물,비사업용,0
201603,수소,화물,사업용,0
201603,수소,특수,비사업용,0
201603,수소,특수,사업용,0
201603,기타연료,승용,비사업용,532
201603,기타연료,승용,사업용,0
201603,기타연료,승합,비사업용,675
201603,기타연료,승합,사업용,0
201603,기타연료,화물,비사업용,2014
201603,기타연료,화물,사업용,1135
201603,기타연료,특수,비사업용,73
201603,기타연료,특수,사업용,6
201604,휘발유,승용,비사업용,1579061
201604,휘발유,승용,사업용,17383
201604,휘발유,승합,비사업용,1218
201604,휘발유,승합,사업용,37
201604,휘발유,화물,비사업용,1640
201604,휘발유,화물,사업용,0
201604,휘발유,특수,비사업용,21
201604,휘발유,특수,사업용,0
201604,경유,승용,비사업용,663420
201604,경유,승용,사업용,8601
201604,경유,승합,비사업용,94339
201604,경유,승합,사업용,8044
201604,경유,화물,비사업용,256581
201604,경유,화물,사업용,47798
201604,경유,특수,비사업용,2189
201604,경유,특수,사업용,4614
201604,엘피지,승용,비사업용,179054
201604,엘피지,승용,사업용,88609
201604,엘피지,승합,비사업용,26465
201604,엘피지,승합,사업용,69
201604,엘피지,화물,비사업용,30261
201604,엘피지,화물,사업용,6916
201604,엘피지,특수,비사업용,30
201604,엘피지,특수,사업용,62
201604,전기,승용,비사업용,583
201604,전기,승용,사업용,571
201604,전기,승합,비사업용,1
201604,전기,승합,사업용,9
201604,전기,화물,비사업용,2
201604,전기,화물,사업용,0
201604,전기,특수,비사업용,0
201604,전기,특수,사업용,0
201604,CNG,승용,비사업용,594
201604,CNG,승용,사업용,167
201604,CNG,승합,비사업용,59
201604,CNG,승합,사업용,8692
201604,CNG,화물,비사업용,467
201604,CNG,화물,사업용,3
201604,CNG,특수,비사업용,3
201604,CNG,특수,사업용,0
201604,하이브리드(휘발유+전기),승용,비사업용,32793
201604,하이브리드(휘발유+전기),승용,사업용,2473
201604,하이브리드(휘발유+전기),승합,비사업용,0
201604,하이브리드(휘발유+전기),승합,사업용,0
201604,하이브리드(휘발유+전기),화물,비사업용,0
201604,하이브리드(휘발유+전기),화물,사업용,0
201604,하이브리드(휘발유+전기),특수,비사업용,0
201604,하이브리드(휘발유+전기),특수,사업용,0
201604,하이브리드(경유+전기),승용,비사업용,21
201604,하이브리드(경유+전기),승용,사업용,2
201604,하이브리드(경유+전기),승합,비사업용,1
201604,하이브리드(경유+전기),승합,사업용,0
201604,하이브리드(경유+전기),화물,비사업용,0
201604,하이브리드(경유+전기),화물,사업용,0
201604,하이브리드(경유+전기),특수,비사업용,0
201604,하이브리드(경유+전기),특수,사업용,0
201604,하이브리드(LPG+전기),승용,비사업용,2235
201604,하이브리드(LPG+전기),승용,사업용,3
201604,하이브리드(LPG+전기),승합,비사업용,0
201604,하이브리드(LPG+전기),승합,사업용,0
201604,하이브리드(LPG+전기),화물,비사업용,0
201604,하이브리드(LPG+전기),화물,사업용,0
201604,하이브리드(LPG+전기),특수,비사업용,0
201604,하이브리드(LPG+전기),특수,사업용,0
201604,하이브리드(CNG+전기),승용,비사업용,0
201604,하이브리드(CNG+전기),승용,사업용,0
201604,하이브리드(CNG+전기),승합,비사업용,0
201604,하이브리드(CNG+전기),승합,사업용,32
201604,하이브리드(CNG+전기),화물,비사업용,0
201604,하이브리드(CNG+전기),화물,사업용,0
201604,하이브리드(CNG+전기),특수,비사업용,0
201604,하이브리드(CNG+전기),특수,사업용,0
201604,수소,승용,비사업용,5
