STD_YM,ADMI_CD,ADMI_NM,RSPOP_CNT,CTY_NM
202107,11620715,난향동,365,관악구
202107,11560680,신길6동,307,영등포구
202107,11260680,신내1동,1003,중랑구
202107,11260690,신내2동,363,중랑구
202107,11410640,홍제3동,208,서대문구
202107,11215780,능동,134,광진구
202107,11170555,청파동,172,용산구
202107,11260590,상봉2동,159,중랑구
202107,11380580,응암1동,702,은평구
202107,11500570,화곡4동,307,강서구
202107,11710570,오금동,777,송파구
202107,11440700,망원2동,331,마포구
202107,11710647,위례동,1436,송파구
202107,11440585,도화동,405,마포구
202107,11560630,신길1동,148,영등포구
202107,11215840,자양3동,646,광진구
202107,11470520,목2동,455,양천구
202107,11590510,노량진1동,528,동작구
202107,11290575,동선동,158,성북구
202107,11200670,성수2가1동,224,성동구
202107,11740560,고덕2동,763,강동구
202107,11230536,용신동,305,동대문구
202107,11380590,응암2동,885,은평구
202107,11710720,잠실7동,163,송파구
202107,11620615,중앙동,125,관악구
202107,11290650,정릉4동,464,성북구
202107,11170590,용문동,183,용산구
202107,11305635,수유3동,221,강북구
202107,11110550,부암동,185,종로구
202107,11110690,창신3동,97,종로구
202107,11530790,수궁동,406,구로구
202107,11590620,사당1동,217,동작구
202107,11500611,발산1동,1090,강서구
202107,11170630,이촌1동,818,용산구
202107,11215830,자양2동,437,광진구
202107,11350570,월계2동,477,노원구
202107,11650651,양재1동,1201,서초구
202107,11470510,목1동,1028,양천구
202107,11680565,청담동,685,강남구
202107,11380640,증산동,208,은평구
202107,11530740,개봉1동,542,구로구
202107,11350611,하계1동,345,노원구
202107,11560550,당산1동,244,영등포구
202107,11650540,잠원동,694,서초구
202107,11530520,구로1동,510,구로구
202107,11530595,가리봉동,66,구로구
202107,11215770,중곡4동,381,광진구
202107,11305535,미아동,232,강북구
202107,11470650,신정4동,483,양천구
202107,11590660,대방동,667,동작구
202107,11230660,장안2동,805,동대문구
202107,11530770,오류1동,256,구로구
202107,11170700,보광동,123,용산구
202107,11290525,성북동,192,성북구
202107,11620585,낙성대동,171,관악구
202107,11710670,잠실2동,1390,송파구
