addr,lat,lng,법정동,cnt,법정동코드,행정동,행정동코드
서울특별시 강남구 압구정로33길 48,37.530558,127.030574,압구정동,1,1168011000,압구정동,1168054500
"서울특별시 강남구 압구정로48길 15 (신사동, 압구정대원칸타빌아파트)",37.52736107776,127.0370362322,신사동,1,1138010900,압구정동,1168054500
서울특별시 강남구 압구정로71길 28,37.528218,127.046477,청담동,2,1168010400,청담동,1168056500
서울특별시 강남구 압구정로79길 26 (청담동),37.52505448261,127.0494253728,청담동,1,1168010400,청담동,1168056500
서울특별시 강남구 압구정로79길 76,37.525485248,127.05376298,청담동,4,1168010400,청담동,1168056500
서울특별시 강남구 양재대로55길 14 (일원동),37.4918534272,127.0880284368,일원동,1,1168011400,일원1동,1168073000
서울특별시 강남구 양재천로 199,37.4834253874,127.0470801125,도곡동,1,1168011800,도곡2동,1168065600
"서울특별시 강남구 언주로 110 (개포동, 경남아파트)",37.485,127.056,개포동,3,1168010300,개포1동,1168066000
서울특별시 강남구 언주로 118,37.486519,127.051886,도곡동,6,1168011800,도곡2동,1168065600
서울특별시 강남구 언주로 118,37.486916,127.0518555,도곡동,5,1168011800,도곡2동,1168065600
서울특별시 강남구 언주로 120,37.48676,127.051274,도곡동,1,1168011800,도곡2동,1168065600
서울특별시 강남구 언주로 201,37.488427276,127.04877797,도곡동,3,1168011800,도곡1동,1168065500
서울특별시 강남구 언주로 211,37.492949,127.046255,도곡동,2,1168011800,도곡1동,1168065500
"서울특별시 강남구 언주로 420 (역삼동, 역삼자이아파트) 101동~103동",37.5013,127.044,역삼동,5,1168010100,역삼2동,1168065000
서울특별시 강남구 언주로 506,37.5034175,127.0428583,역삼동,2,1168010100,역삼1동,1168064000
서울특별시 강남구 언주로 703,37.516043,127.034881,논현동,2,1168010800,논현2동,1168053100
서울특별시 강남구 언주로108길 26,37.508584359,127.04134701,역삼동,1,1168010100,역삼1동,1168064000
"서울특별시 강남구 언주로116길 6 (논현동, 동부센트레빌)",37.5103,127.038,논현동,2,1168010800,논현2동,1168053100
서울특별시 강남구 언주로130길 30,37.515085692,127.0382684,논현동,5,1168010800,논현2동,1168053100
서울특별시 강남구 언주로147길 9-11,37.519204364164,127.0341385136,논현동,2,1168010800,논현2동,1168053100
서울특별시 강남구 언주로30길 13,37.488138,127.051166,도곡동,1,1168011800,도곡2동,1168065600
"서울특별시 강남구 언주로30길 21 (도곡동, 아카데미스위트)",37.48886540776,127.0520135015,도곡동,3,1168011800,도곡2동,1168065600
서울특별시 강남구 언주로30길 56,37.488069522098,127.0534832199,도곡동,5,1168011800,도곡2동,1168065600
서울특별시 강남구 언주로30길 57,37.489475126735,127.0540058312,도곡동,3,1168011800,도곡2동,1168065600
"서울특별시 강남구 언주로85길 13 (역삼동, 경남아파트)",37.500567,127.04238178,역삼동,1,1168010100,역삼2동,1168065000
서울특별시 강남구 역삼동 710,37.50152205273,127.0449314174,역삼동,2,1168010100,역삼2동,1168065000
