상권_코드,기준_년_코드,기준_분기_코드,점포_수,유사_업종_점포_수,행정동_코드
1000265,2020,4,76,78,11290770
1000266,2020,4,97,100,11290760
1000267,2020,4,50,53,11290810
1000268,2020,4,121,133,11290575
1000269,2020,4,110,119,11290575
1000270,2020,4,155,165,11290575
1000271,2020,4,122,129,11290555
1000272,2020,4,130,140,11290555
1000273,2020,4,125,142,11290650
1000274,2020,4,169,183,11290610
1000275,2020,4,52,54,11290600
1000276,2020,4,176,186,11290555
1000277,2020,4,168,187,11290575
1000278,2020,4,169,184,11290555
1000279,2020,4,37,40,11290555
1000280,2020,4,33,33,11290555
1000281,2020,4,93,104,11290685
1000282,2020,4,88,91,11290525
1000283,2020,4,59,63,11290640
1000284,2020,4,209,227,11290575
1000285,2020,4,96,100,11290600
1000286,2020,4,134,144,11290715
1000287,2020,4,106,110,11290715
1000288,2020,4,259,285,11290725
1000289,2020,4,62,68,11290600
1000290,2020,4,160,173,11290610
1000291,2020,4,114,133,11290600
1000292,2020,4,200,260,11290600
1000293,2020,4,82,89,11290600
1000294,2020,4,162,165,11290610
1000295,2020,4,137,149,11290725
1000296,2020,4,37,37,11290780
1000297,2020,4,84,93,11290630
1000298,2020,4,70,78,11290630
1000299,2020,4,61,71,11290640
1000300,2020,4,92,100,11290705
1000301,2020,4,145,160,11290705
1000302,2020,4,87,102,11290705
1000303,2020,4,127,131,11290705
1000304,2020,4,101,109,11290705
1000305,2020,4,136,146,11290610
1000306,2020,4,105,114,11290525
1000307,2020,4,49,51,11290760
1000308,2020,4,111,128,11290810
1000309,2020,4,107,128,11290725
1000310,2020,4,94,108,11290725
1000311,2020,4,84,87,11290770
1000312,2020,4,120,129,11290715
1000313,2020,4,81,89,11290810
1000314,2020,4,79,86,11290810
1000315,2020,4,168,172,11305630
1000316,2020,4,68,72,11305620
1000317,2020,4,71,73,11305620
1000318,2020,4,73,75,11305600
1000319,2020,4,102,109,11305590
1000320,2020,4,95,100,11305555
1000321,2020,4,76,80,11305545
1000322,2020,4,200,214,11305535
1000323,2020,4,159,167,11305535
1000324,2020,4,224,240,11305535
1000325,2020,4,36,39,11305545
1000326,2020,4,81,84,11305630
1000327,2020,4,106,117,11305630
1000328,2020,4,60,63,11305555
1000329,2020,4,69,75,11305555
1000330,2020,4,80,94,11305575
1000331,2020,4,127,142,11305534
1000332,2020,4,47,49,11305555
1000333,2020,4,75,78,11305610
1000334,2020,4,76,82,11305660
1000335,2020,4,105,106,11305535
1000336,2020,4,109,120,11305535
1000337,2020,4,257,286,11305545
1000338,2020,4,158,169,11305555
1000339,2020,4,156,166,11305610
1000340,2020,4,102,113,11305545
1000341,2020,4,77,82,11305545
1000342,2020,4,188,202,11305590
1000343,2020,4,83,83,11305660
1000344,2020,4,70,77,11305660
1000345,2020,4,53,56,11305660
1000346,2020,4,193,226,11305606
1000347,2020,4,51,57,11305590
1000348,2020,4,65,70,11305590
1000349,2020,4,217,234,11305590
1000350,2020,4,95,103,11305630
1000351,2020,4,149,159,11305630
1000352,2020,4,197,221,11320680
1000353,2020,4,92,109,11320515
1000354,2020,4,101,105,11320513
1000355,2020,4,72,78,11320700
1000356,2020,4,107,113,11320700
1000357,2020,4,142,150,11320690
1000358,2020,4,203,216,11320690
1000359,2020,4,170,185,11320680
1000360,2020,4,481,524,11320511
1000361,2020,4,120,126,11320690
1000362,2020,4,201,218,11320690
1000363,2020,4,64,66,11320522
1000364,2020,4,79,82,11320522
1000365,2020,4,128,139,11320521
1000366,2020,4,186,206,11320521
1000367,2020,4,40,42,11320521
1000368,2020,4,92,99,11320521
1000369,2020,4,100,106,11320700
1000370,2020,4,49,55,11320710
1000371,2020,4,103,108,11320670
1000372,2020,4,161,165,11320690
1000373,2020,4,125,141,11320660
1000374,2020,4,144,152,11320521
1000375,2020,4,106,115,11320660
1000376,2020,4,108,120,11320513
1000377,2020,4,139,162,11320515
1000378,2020,4,98,107,11350611
1000379,2020,4,197,208,11350595
1000380,2020,4,243,300,11350595
1000381,2020,4,122,137,11350630
1000382,2020,4,151,166,11350640
1000383,2020,4,155,179,11350640
1000384,2020,4,205,227,11350640
1000385,2020,4,216,245,11350560
1000386,2020,4,316,361,11350624
1000387,2020,4,185,195,11350670
1000388,2020,4,128,134,11350670
1000389,2020,4,123,135,11380600
1000390,2020,4,175,191,11380631
1000391,2020,4,149,156,11380552
1000392,2020,4,66,69,11380551
1000393,2020,4,118,128,11380625
1000394,2020,4,137,153,11380600
1000395,2020,4,84,88,11380560
1000396,2020,4,94,101,11380570
1000397,2020,4,76,79,11380650
1000398,2020,4,116,125,11380570
1000399,2020,4,102,113,11380560
1000400,2020,4,90,93,11380560
1000401,2020,4,174,189,11380625
1000402,2020,4,198,215,11380552
1000403,2020,4,123,133,11380552
1000404,2020,4,157,176,11380552
1000405,2020,4,206,223,11380570
1000406,2020,4,116,130,11380551
1000407,2020,4,83,89,11380530
1000408,2020,4,124,133,11380530
1000409,2020,4,108,116,11380625
1000410,2020,4,92,98,11380530
1000411,2020,4,146,157,11380625
1000412,2020,4,152,160,11380580
1000413,2020,4,294,303,11380510
1000414,2020,4,60,63,11380580
1000415,2020,4,141,161,11380625
1000416,2020,4,133,144,11380580
1000417,2020,4,139,145,11380600
1000418,2020,4,165,186,11380600
1000419,2020,4,115,122,11380600
1000420,2020,4,130,145,11380600
1000421,2020,4,94,103,11380580
1000422,2020,4,113,115,11380640
1000423,2020,4,72,76,11380632
1000424,2020,4,88,98,11380632
1000425,2020,4,146,156,11380631
1000426,2020,4,87,93,11380640
1000427,2020,4,103,109,11380640
1000428,2020,4,106,111,11380640
1000429,2020,4,128,138,11380510
1000430,2020,4,205,219,11380625
1000431,2020,4,60,63,11380570
1000432,2020,4,78,83,11380530
1000433,2020,4,187,199,11380551
1000434,2020,4,51,58,11380530
1000435,2020,4,153,168,11410700
1000436,2020,4,81,90,11410520
1000437,2020,4,190,218,11410700
1000438,2020,4,191,215,11410690
1000439,2020,4,92,94,11410555
1000440,2020,4,229,244,11410660
1000441,2020,4,196,231,11410655
1000442,2020,4,183,200,11410640
1000443,2020,4,79,84,11410710
1000444,2020,4,107,113,11410555
1000445,2020,4,71,84,11410615
1000446,2020,4,130,140,11410720
1000447,2020,4,295,348,11410700
1000448,2020,4,64,68,11410720
1000449,2020,4,279,303,11410720
1000450,2020,4,49,54,11410685
1000451,2020,4,147,156,11410565
1000452,2020,4,150,163,11410565
1000453,2020,4,61,68,11410520
1000454,2020,4,142,162,11410620
1000455,2020,4,91,99,11410620
1000456,2020,4,82,84,11410615
1000457,2020,4,54,58,11410620
1000458,2020,4,136,145,11440630
1000459,2020,4,106,122,11440600
1000460,2020,4,135,142,11440610
1000461,2020,4,83,95,11440585
1000462,2020,4,146,168,11440585
1000463,2020,4,82,86,11440655
1000464,2020,4,150,155,11440630
1000465,2020,4,152,156,11440680
1000466,2020,4,147,156,11440660
1000467,2020,4,242,256,11440660
1000468,2020,4,129,135,11440710
1000469,2020,4,344,363,11440710
1000470,2020,4,389,400,11440710
1000471,2020,4,137,155,11440555
1000472,2020,4,203,216,11440565
1000473,2020,4,115,125,11440585
1000474,2020,4,173,179,11440565
1000475,2020,4,159,174,11440700
1000476,2020,4,192,203,11440690
1000477,2020,4,381,421,11440740
1000478,2020,4,115,125,11440730
1000479,2020,4,100,107,11440700
1000480,2020,4,235,254,11440600
1000481,2020,4,144,154,11440720
1000482,2020,4,145,158,11440720
1000483,2020,4,106,108,11440710
1000484,2020,4,176,187,11440720
1000485,2020,4,108,112,11440680
1000486,2020,4,35,36,11440610
1000487,2020,4,159,177,11440610
1000488,2020,4,266,283,11440660
1000489,2020,4,54,57,11440555
1000490,2020,4,63,67,11440555
1000491,2020,4,171,180,11440660
1000492,2020,4,203,217,11440680
1000493,2020,4,166,172,11440680
1000494,2020,4,170,172,11440660
1000495,2020,4,157,170,11440660
1000496,2020,4,104,109,11440655
1000497,2020,4,185,194,11440660
1000498,2020,4,175,187,11440690
1000499,2020,4,200,216,11440660
1000500,2020,4,249,274,11440690
1000501,2020,4,182,190,11440700
1000502,2020,4,136,154,11440730
1000503,2020,4,115,124,11440680
1000504,2020,4,163,171,11440660
1000505,2020,4,248,259,11440590
1000506,2020,4,71,76,11440565
1000507,2020,4,39,43,11470580
1000508,2020,4,135,146,11470560
1000509,2020,4,79,85,11470560
1000510,2020,4,183,192,11470560
1000511,2020,4,131,139,11470560
1000512,2020,4,92,98,11470600
1000513,2020,4,143,157,11470580
1000514,2020,4,65,71,11470580
1000515,2020,4,145,157,11470611
1000516,2020,4,102,110,11470610
1000517,2020,4,85,101,11470640
1000518,2020,4,146,167,11470680
