행정동코드,행정동,동별 총 대수,휘발유,경유,LPG,전기,CNG,수소,기타연료,하이브리드
1121586000,구의제2동,7561.0,4039.0,2617.0,552.0,34.0,2.0,5.0,13.0,299.0
1121587000,구의제3동,7561.0,4039.0,2617.0,552.0,34.0,2.0,5.0,13.0,299.0
1123056000,전농제1동,6606.0,3384.0,2366.0,549.0,38.0,1.0,4.0,12.0,252.0
1123057000,전농제2동,6606.0,3384.0,2366.0,549.0,38.0,1.0,4.0,12.0,252.0
1123060000,답십리제1동,9106.0,4624.0,3303.0,759.0,51.0,6.0,3.0,17.0,343.0
1123061000,답십리제2동,9106.0,4624.0,3303.0,759.0,51.0,6.0,3.0,17.0,343.0
1123065000,장안제1동,11861.0,5746.0,4528.0,1113.0,52.0,2.0,7.0,31.0,382.0
1123066000,장안제2동,11861.0,5746.0,4528.0,1113.0,52.0,2.0,7.0,31.0,382.0
1123072000,휘경제1동,5120.0,2571.0,1869.0,458.0,22.0,8.0,2.0,10.0,180.0
1123073000,휘경제2동,5120.0,2571.0,1869.0,458.0,22.0,8.0,2.0,10.0,180.0
1123074000,이문제1동,4723.0,2455.0,1657.0,419.0,20.0,1.0,2.0,14.0,156.0
1123075000,이문제2동,4723.0,2455.0,1657.0,419.0,20.0,1.0,2.0,14.0,156.0
1126052000,면목제2동,6260.0,2930.0,2427.0,658.0,28.0,42.0,2.0,7.0,166.0
1126054000,면목제4동,6260.0,2930.0,2427.0,658.0,28.0,42.0,2.0,7.0,166.0
1126055000,면목제5동,6260.0,2930.0,2427.0,658.0,28.0,42.0,2.0,7.0,166.0
1126056500,면목본동,6260.0,2930.0,2427.0,658.0,28.0,42.0,2.0,7.0,166.0
1126057000,면목제7동,6260.0,2930.0,2427.0,658.0,28.0,42.0,2.0,7.0,166.0
1126057500,면목제3.8동,6260.0,2930.0,2427.0,658.0,28.0,42.0,2.0,7.0,166.0
1126058000,상봉제1동,6843.0,3363.0,2464.0,744.0,36.0,2.0,2.0,12.0,220.0
1126059000,상봉제2동,6843.0,3363.0,2464.0,744.0,36.0,2.0,2.0,12.0,220.0
1126060000,중화제1동,5926.0,2826.0,2297.0,640.0,25.0,0.0,2.0,9.0,127.0
1126061000,중화제2동,5926.0,2826.0,2297.0,640.0,25.0,0.0,2.0,9.0,127.0
1126062000,묵제1동,8210.0,4066.0,3122.0,732.0,30.0,2.0,2.0,14.0,241.0
1126063000,묵제2동,8210.0,4066.0,3122.0,732.0,30.0,2.0,2.0,14.0,241.0
