사용본거지법정동명,동별 총 대수,휘발유,경유,LPG,전기,CNG,수소,기타연료,하이브리드,행정동코드,읍면동명
서울특별시 중구 남대문로4가,135,91,42,0,0,0,0,0,2,1114052000,소공동
서울특별시 중구 남대문로5가,10328,5675,4010,10,131,0,1,3,498,1114054000,회현동
서울특별시 중구 봉래동1가,167,49,107,3,0,0,1,1,6,1114052000,소공동
서울특별시 중구 봉래동1가,167,49,107,3,0,0,1,1,6,1114052000,소공동
서울특별시 중구 봉래동2가,50,8,34,3,1,0,0,0,4,1114054000,회현동
서울특별시 중구 회현동1가,1172,617,442,41,13,0,1,1,57,1114055000,명동
서울특별시 중구 회현동1가,1172,617,442,41,13,0,1,1,57,1114055000,명동
서울특별시 중구 회현동2가,1731,826,795,8,11,0,0,4,87,1114055000,명동
서울특별시 중구 회현동2가,1731,826,795,8,11,0,0,4,87,1114055000,명동
서울특별시 중구 회현동3가,47,28,19,0,0,0,0,0,0,1114055000,명동
서울특별시 중구 충무로1가,165,77,73,11,0,0,1,0,3,1114055000,명동
서울특별시 중구 충무로1가,165,77,73,11,0,0,1,0,3,1114055000,명동
서울특별시 중구 충무로2가,339,213,99,11,3,1,0,1,11,1114055000,명동
서울특별시 중구 명동1가,82,44,34,2,1,0,0,0,1,1114055000,명동
서울특별시 중구 명동2가,468,141,301,11,4,0,0,0,11,1114055000,명동
서울특별시 중구 남산동1가,90,36,34,8,6,0,0,0,6,1114055000,명동
서울특별시 중구 남산동2가,223,113,91,9,0,2,0,0,8,1114055000,명동
서울특별시 중구 남산동3가,50,26,20,0,0,0,0,1,3,1114055000,명동
서울특별시 중구 저동1가,76,57,15,2,0,0,0,0,2,1114055000,명동
서울특별시 중구 충무로4가,618,345,213,21,3,0,0,0,36,1114057000,필동
서울특별시 중구 충무로4가,618,345,213,21,3,0,0,0,36,1114057000,필동
서울특별시 중구 충무로5가,273,150,101,6,4,0,0,0,12,1114057000,필동
서울특별시 중구 충무로5가,273,150,101,6,4,0,0,0,12,1114057000,필동
서울특별시 중구 인현동2가,183,85,73,16,0,0,0,1,8,1114059000,광희동
서울특별시 중구 예관동,246,62,134,8,29,7,0,1,5,1114059000,광희동
서울특별시 중구 묵정동,310,153,130,16,1,0,0,0,10,1114057000,필동
서울특별시 중구 묵정동,310,153,130,16,1,0,0,0,10,1114057000,필동
서울특별시 중구 필동1가,159,98,50,5,0,0,0,0,6,1114057000,필동
서울특별시 중구 필동2가,499,272,174,22,5,1,0,4,21,1114057000,필동
서울특별시 중구 필동3가,376,195,133,26,3,0,0,1,18,1114057000,필동
